x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
538,2011,2011/6/19,39538,80.56483821,48282,97.99273406,41108,73.40714286,38060,85.65127374,41916,97.6562136
556,2011,2011/6/27,25726,52.42073519,49227,99.91069798,43104,76.97142857,23635,53.18885588,41521,96.73593961
558,2011,2011/6/28,27076,55.17157063,40269,81.72961783,56000,100,20250,45.57115852,41028,95.58734449
561,2011,2011/6/29,26876,54.76403945,41088,83.39185322,32329,57.73035714,24461,55.04770906,42117,98.12450492
583,2011,2011/7/15,24966,50.87211672,35044,71.12500254,31005,55.36607143,32292,72.67080745,42123,98.13848376
586,2011,2011/7/16,28897,58.88214198,46783,94.95037649,56000,100,42055,94.64173193,42323,98.60444527
589,2011,2011/7/17,27683,56.40842774,35030,71.09658826,38529,68.80178571,42024,94.57196867,42391,98.76287219
592,2011,2011/7/18,17404,35.46336295,35103,71.24474843,29744,53.11428571,36351,81.80529301,42487,98.98653371
595,2011,2011/7/19,17831,36.33344201,36460,73.99890402,35249,62.94464286,22679,51.03744711,42297,98.54387028
598,2011,2011/7/20,19196,39.11484229,39339,79.84209779,39839,71.14107143,28377,63.86038347,42277,98.49727413
601,2011,2011/7/21,22241,45.31950444,39262,79.68581924,34590,61.76785714,23348,52.54298317,42262,98.46232701
603,2011,2011/7/22,22768,46.39334909,39330,79.82383146,36458,65.10357143,27612,62.13880637,42366,98.704627
607,2011,2011/7/23,34849,71.01026979,39128,79.41385399,28860,51.53571429,37034,83.34233504,42332,98.62541354
609,2011,2011/7/24,28090,57.23775369,39404,79.97402123,50664,90.47142857,22516,50.67062742,42477,98.96323564
635,2011,2011/8/5,27215,55.45480479,35956,72.97598993,29976,53.52857143,22417,50.44783509,42013,97.88220493
640,2011,2011/8/7,25575,52.11304915,35034,71.10470662,35169,62.80178571,22543,50.73138896,42165,98.23633568
643,2011,2011/8/8,17448,35.55301981,43321,87.92393091,37139,66.31964286,25371,57.09559816,42183,98.27827221
646,2011,2011/8/9,17814,36.29880186,34812,70.65413732,43935,78.45535714,30094,67.72436763,42366,98.704627
651,2011,2011/8/11,18418,37.52954601,32175,65.30210469,35380,63.17857143,24212,54.4873526,42405,98.79548949
652,2011,2011/8/12,25701,52.36979379,36136,73.34131639,46547,83.11964286,22089,49.70969484,42648,99.36163273
654,2011,2011/8/13,33552,68.36743011,33522,68.03596436,41807,74.65535714,18403,41.41461878,42603,99.25679139
656,2011,2011/8/14,30148,61.43124949,44984,91.29914148,33642,60.075,26065,58.65739491,41288,96.19309445
677,2011,2011/8/26,34074,69.43108648,45195,91.72738528,36111,64.48392857,37268,83.8689351,41542,96.78486557
681,2011,2011/8/27,35603,72.54666232,49083,99.61843681,36339,64.89107143,40065,90.16338104,41115,95.79003774
682,2011,2011/8/28,27564,56.16594669,27166,55.13588115,38960,69.57142857,22070,49.66693672,41438,96.54256558
685,2011,2011/8/29,19478,39.68946124,31179,63.28063161,35537,63.45892857,23974,53.95175083,41681,97.10870882
688,2011,2011/8/30,20231,41.22381612,30333,61.56359725,38503,68.75535714,24661,55.49779458,41063,95.66888775
691,2011,2011/8/31,23062,46.99241992,40342,81.877778,29764,53.15,25066,56.40921775,41165,95.90652812
706,2011,2011/9/8,21402,43.60991116,25691,52.14223377,36589,65.3375,21866,49.20784949,41099,95.75276082
707,2011,2011/9/9,29639,60.39408265,25320,51.38925534,27767,49.58392857,18173,40.89702043,40948,95.40095988
712,2011,2011/9/10,48017,97.84212242,40114,81.41503115,30616,54.67142857,28605,64.37348096,41951,97.73775686
713,2011,2011/9/11,39369,80.22047437,38499,78.13724097,31404,56.07857143,36242,81.5599964,42222,98.36913471
732,2011,2011/9/19,24458,49.83698753,34364,69.74488036,29799,53.2125,30781,69.27041138,41902,97.62359629
734,2011,2011/9/20,30114,61.36196919,47302,96.00373445,25381,45.32321429,32658,73.49446395,42121,98.13382415
737,2011,2011/9/21,25296,51.54454316,38961,79.07491222,41148,73.47857143,39966,89.94058871,41466,96.6078002
742,2011,2011/9/23,42606,86.81636645,31875,64.69322725,32514,58.06071429,32387,72.88459807,41069,95.6828666
744,2011,2011/9/24,49076,100,27450,55.71228512,37802,67.50357143,26433,59.48555225,41510,96.71031173
746,2011,2011/9/25,41243,84.03904149,32465,65.8906862,32526,58.08214286,39058,87.89720047,41209,96.00903965
748,2011,2011/9/26,29116,59.32838862,31457,63.84485803,32334,57.73928571,32452,73.03087587,41956,97.7494059
753,2011,2011/9/28,41791,85.15567691,30337,61.57171561,37560,67.07142857,17573,39.54676389,42370,98.71394623
764,2012,2012/4/16,17366,35.38593202,25860,52.48523472,29729,53.0875,23748,53.4431542,41873,97.55603187
767,2012,2012/4/17,19198,39.1189176,30642,62.190741,28328,50.58571429,31437,70.74669187,41138,95.84362332
770,2012,2012/4/18,18368,37.42766322,29856,60.59548213,31601,56.43035714,26759,60.21919165,41136,95.8389637
774,2012,2012/4/19,18110,36.901948,21547,43.73160683,38359,68.49821429,16599,37.35484742,41101,95.75742044
776,2012,2012/4/20,27761,56.5673649,24525,49.77573015,26376,47.1,15154,34.10297957,41860,97.52574437
