x,year,date,CHC,CHC_per,CIN,CIN_per,MIL,MIL_per,PIT,PIT_per,STL,STL_per
870,2012,2012/6/15,40073,94.56978336,34193,79.91072472,39603,87.45086782,14556,36.83757656,44276,93.22833319
872,2012,2012/6/16,40766,96.20522018,33531,78.36359812,34334,75.81592545,15794,39.97064332,45538,95.88562284
885,2012,2012/6/25,34092,80.45499599,34513,80.65858048,28071,61.98604425,25731,65.11869211,40360,84.98273393
888,2012,2012/6/26,34064,80.38891773,34485,80.5931431,27112,59.868392,29914,75.70481348,39151,82.43704203
890,2012,2012/6/27,35837,84.57308727,32986,77.08990628,30123,66.51724595,38132,96.50250544,40715,85.73022825
891,2012,2012/6/29,32891,77.62071081,28906,67.55474538,32759,72.33802941,27486,69.56015589,40135,84.50896993
895,2012,2012/6/30,37906,89.45579837,40217,93.98910935,43021,94.99845427,14792,37.43483322,43375,91.33117157
897,2012,2012/7/1,37389,88.23571058,37583,87.83332165,32223,71.15444067,12077,30.56385079,44476,93.64945675
919,2012,2012/7/13,36878,87.02978241,39280,91.79929421,33077,73.04023318,16782,42.47102293,42659,89.82354923
922,2012,2012/7/14,38068,89.83810827,27735,64.81806072,38030,83.97738816,36069,91.28157109,42098,88.64229765
925,2012,2012/7/15,36659,86.51295606,19142,44.73579658,41647,91.96440401,39312,99.48878878,41694,87.79162806
931,2012,2012/7/17,34397,81.17477699,26077,60.94323307,38605,85.24709623,25752,65.17183783,40972,86.27137202
933,2012,2012/7/18,34934,82.44206353,21620,50.5270046,28674,63.31758159,19936,50.453004,40045,84.31946433
936,2012,2012/7/19,32741,77.26672016,30247,70.68872841,33178,73.26326017,19878,50.30622058,43464,91.51857155
955,2012,2012/7/27,40778,96.23353943,40090,93.6923041,31910,70.46327783,21563,54.57053196,42001,88.43805272
956,2012,2012/7/28,41276,97.40878841,32884,76.85152726,27443,60.59930221,37965,96.07987043,42018,88.47384823
958,2012,2012/7/29,39534,93.29777694,28140,65.76456566,35025,77.34178333,38734,98.0260161,41680,87.76214941
965,2012,2012/8/1,33014,77.91098315,20356,47.57297436,42029,92.80793181,35179,89.02920484,45382,95.55714647
984,2012,2012/8/9,33397,78.81483929,20527,47.97260978,35430,78.23609946,21041,53.2494812,37162,78.24896825
985,2012,2012/8/10,36891,87.0604616,22396,52.34055482,30128,66.52828689,21516,54.45158678,37821,79.63657037
988,2012,2012/8/11,40602,95.8181904,40829,95.41938349,30491,67.32985912,36827,93.19987852,39456,83.07925545
990,2012,2012/8/12,35461,83.6857507,41577,97.16749632,37753,83.36572009,21386,54.12258946,41701,87.80636739
992,2012,2012/8/13,31452,74.22476047,38624,90.26618991,33176,73.25884379,37565,95.06757099,42338,89.14764592
995,2012,2012/8/14,33376,78.7652806,26113,61.02736685,35858,79.1812039,37543,95.01189452,41751,87.91164828
1000,2012,2012/8/15,33714,79.56293954,26082,60.95491832,41890,92.50099368,28954,73.27529483,46721,98.37656869
1019,2012,2012/8/24,31255,73.75985274,23137,54.0723083,28131,62.11853553,37193,94.12613251,41312,86.98728207
1022,2012,2012/8/25,35296,83.29636098,35332,82.57262381,30011,66.2699289,39411,99.73933289,38436,80.93152531
