x,year,date,HOU,HOU.per,LAA,LAA.per,OAK,OAK.per,SEA,SEA.per,TEX,TEX.per
227,2013,2013/4/24,11686,27.38499754,41147,92.33859204,10689,29.63650983,23177,50.35522628,46782,94.36801549
228,2013,2013/5/3,16719,39.17934057,36192,81.21900316,11038,30.60415338,14403,31.29250223,39638,79.95723565
229,2013,2013/5/4,21266,49.83479015,35353,79.33619084,15488,42.94230183,13036,28.32250635,42510,85.75059507
230,2013,2013/5/5,23228,54.43254517,35118,78.80882386,11220,31.10876979,12608,27.39261738,30896,62.32299189
231,2013,2013/5/7,15266,35.77437724,40140,90.07876843,16944,46.97923309,14001,30.41910183,37765,76.17904547
232,2013,2013/5/8,12906,30.24394816,32203,72.26722919,31292,86.76075082,17893,38.87500815,36107,72.83455037
233,2013,2013/5/9,13003,30.47125817,33028,74.11862391,27475,76.17766934,17671,38.39268256,47567,95.95150684
234,2013,2013/5/11,27188,63.71241769,31917,71.62541236,11668,32.35090249,19024,41.3322615,33003,66.5732037
235,2013,2013/5/12,19730,46.23532444,37711,84.62781356,14764,40.93492666,13963,30.3365416,45200,91.17682656
236,2013,2013/5/20,12989,30.43845054,37546,84.25753462,17139,47.51989353,14353,31.18387034,34248,69.0846008
237,2013,2013/5/21,12302,28.82853326,37165,83.40252687,11030,30.58197244,15614,33.9235666,32013,64.57618913
238,2013,2013/5/22,12324,28.88008811,38190,85.70274455,12969,35.95807802,42589,92.53047125,37203,75.04538669
239,2013,2013/5/24,15907,37.27649802,34095,76.51309441,20414,56.60021626,10496,22.80400634,33121,66.81123169
240,2013,2013/5/25,18591,43.56618939,33313,74.75819663,14602,40.48576261,15028,32.65040085,44052,88.86109654
241,2013,2013/5/26,19366,45.38232606,39172,87.90646529,35067,97.22738237,23506,51.07002412,30489,61.50199701
242,2013,2013/5/27,16044,37.59754411,42231,94.7712125,20387,56.52535559,17015,36.96743216,37769,76.18711421
